Step_Name,Cleaned_Operation
检验 PII-G36471100A,检验
检验 PII-G39671000-10,检验
检验 PII-G39869008-SF,检验
检验 PII-G608379-03,检验
检验PII-109400-02,检验
检验PII-C00017,检验
检验PII-C00027,检验
检验PII-C00033,检验
检验PII-C00035,检验
检验PII-C00363,检验
检验PII-C00544,检验
检验PII-C00618,检验
检验PII-C00637,检验
检验PII-C00646,检验
检验PII-G02440,检验
检验PII-G03646,检验
检验PII-G03664,检验
检验PII-G03675,检验
检验PII-G106157-02,检验
检验PII-G139130-01,检验
检验PII-G139170-04,检验
检验PII-G256105-01,检验
检验PII-G39667000-10,检验
检验PII-G39726000-10,检验
检验PII-G39789000(PS-A),检验
氩弧焊,氩弧焊
氩弧焊接,氩弧焊
氩弧焊检验,氩弧焊检验
水切割(可外协),水切割(外协)
水切割检验,水切割检验
水切割（可外协）,水切割(外协)
注塑,注塑
注塑-外协检验  DMR-00006825,注塑(外协)检验
注塑/装配外协,注塑/装配(外协)
注塑/装配外协检验,注塑/装配检验
注塑外协,注塑(外协)
注塑外协PS-291320-40/PII-G291320,注塑外协/
注塑外协检验,注塑检验
注塑检验,注塑检验
注塑进货检验DMR-00006825,注塑进货检验
涂层(外协),涂层(外协)
涂层(外协)检验,涂层(外协)检验
涂层（外协）,涂层(外协)
涂色,涂色
涂色检验,涂色检验
深孔,深孔钻
深孔外协,深孔钻(外协)
深孔外协检验,深孔检验
深孔检验,深孔检验
深孔钻,深孔钻
深孔钻(可外协),深孔钻(外协)
深孔钻(外协),深孔钻(外协)
深孔钻检验,深孔钻检验
深孔钻（可外协）,深孔钻(外协)
深孔钻（外协）,深孔钻(外协)
深孔钻（外协） PS-36432100-01-10,深孔钻(外协)
深孔钻（外协）检验,深孔钻(外协)检验
清洗,清洗
清洗  WI-ED-015,清洗
清洗 PS-36432000-02-40,清洗
清洗 PS-36432000-03-40,清洗
清洗 PS-36432000-04-40,清洗
清洗 PS-36432100-01-110,清洗
清洗 PS-36432100-01-130,清洗
清洗 PS-36432100-01-70,清洗
清洗 PS-608379-03-20,清洗
清洗 PS-608383-30,清洗
清洗 WI-110,清洗
清洗 WI-121,清洗
清洗(OEM),清洗(外协)
清洗(末道),清洗
清洗(末道) WI-121,清洗
清洗(末道）WI-121,清洗
清洗Cleaning,清洗Cleaning
清洗WI-110,清洗
清洗WI-121,清洗
清洗WI-ED-015,清洗
清洗检验,清洗检验
清洗（末道） WI-121,清洗
清洗（末道）WI-121,清洗
激光切割,激光切割
激光切割检验,激光切割检验
激光打标,激光打标
激光打标 PS-36432000-20,激光打标
激光焊,激光焊接
激光焊接,激光焊接
激光焊接(可外协）L,激光焊接L(外协)
激光焊接检验,激光焊接检验
激光焊接（可外协）,激光焊接(外协)
