分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
器械         ,2160220-01-02      ,2160220-01-02      ,50194683 ,PV01 , 1303 ,                30 ,车削                    ,0.0  ,       ,
器械         ,2160300-01         ,2160300-01         ,50194717 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2160300-01         ,2160300-01         ,50194717 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,2345050SF          ,2345050SF          ,50194750 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2900161C-01-01     ,2900161C-01-01     ,50194758 ,PV01 , 1303 ,                20 ,线切割                   ,0.86 ,   5.5 ,
器械         ,2900161C-01-01     ,2900161C-01-01     ,50194758 ,PV01 , 1303 ,                30 ,数控铣                   ,0.8  ,   6.5 ,
器械         ,2900162-01-01      ,2900162-01-01      ,50194791 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2900163-01-01      ,2900163-01-01      ,50194823 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2900164-01-01      ,2900164-01-01      ,50194854 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2900164-02         ,2900164-02         ,50194869 ,PV01 , 1303 ,                10 ,车削                    ,0.0  , 460.0 ,
器械         ,2900164-03         ,2900164-03         ,50194877 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940169-01-01      ,2940169-01-01      ,50194916 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940172-01-01      ,2940172-01-01      ,50194948 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940350SF          ,2940350SF          ,50194972 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940351SF          ,2940351SF          ,50194989 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940352SF          ,2940352SF          ,50195005 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940353SF          ,2940353SF          ,50195021 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940354SF          ,2940354SF          ,50195037 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940355SF          ,2940355SF          ,50195052 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2940357SF          ,2940357SF          ,50195069 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2942011SF          ,2942011SF          ,50195157 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,   8.0 ,
器械         ,2942011SF          ,2942011SF          ,50195157 ,PV01 , 1303 ,                60 ,线切割（可外协）              ,0.85 ,   2.0 ,
器械         ,2980100-01         ,2980100-01         ,50195173 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980622-01         ,2980622-01         ,50195190 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980626-01         ,2980626-01         ,50195214 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980722-01         ,2980722-01         ,50195239 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980726-01         ,2980726-01         ,50195263 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980732-01         ,2980732-01         ,50195288 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980736-01         ,2980736-01         ,50217513 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980822-01         ,2980822-01         ,50195312 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980826-01         ,2980826-01         ,50195328 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980832-01         ,2980832-01         ,50195344 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980836-01         ,2980836-01         ,50195361 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980922-01         ,2980922-01         ,50195377 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980926-01         ,2980926-01         ,50195404 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980932-01         ,2980932-01         ,50195428 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2980936-01         ,2980936-01         ,50217516 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981022-01         ,2981022-01         ,50195452 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981026-01         ,2981026-01         ,50195470 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981032-01         ,2981032-01         ,50195488 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,2981036-01         ,2981036-01         ,50195505 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
